character,jap text,Eng,Esp
__system__??,{F01 = 1:,,
??,－－－－－－－－－－－－－－－－－－－－－－ 　緊急速報　（,－－－－－－－－－－－－－－－－－－－－－－ 　Urgent Report　（,－－－－－－－－－－－－－－－－－－－－－－ 　Reporte urgente　（
??,）,）,）
__system__??,~R:,,
__system__??,{F02 = 1:,,
??,部下の,Subordinates,Subordinados
??,が、行方不明になりました。,went missing.,Pero desapareció.
__system__??,} else {,,
??,倉庫から、,"From the warehouse,","Desde el almacén,"
??,を削除した。,removed.,borrado.
__system__??,},,
__system__??,},,
__system__??,{F01 = 2:,,
??,－－－－－－－－－－－－－－－－－－－－－－ 　緊急速報　（,－－－－－－－－－－－－－－－－－－－－－－ 　Urgent Report　（,－－－－－－－－－－－－－－－－－－－－－－ 　Reporte urgente　（
??,） 捕虜の,） Captured,） Capturado
??,が、急死しました。,died suddenly.,murió repentinamente.
__system__??,},,
__system__??,{F01 = 3:,,
??,－－－－－－－－－－－－－－－－－－－－－－ 　緊急速報　（,－－－－－－－－－－－－－－－－－－－－－－ 　Urgent Report　（,－－－－－－－－－－－－－－－－－－－－－－ 　Reporte urgente　（
??,） 娼婦の,) The prostitute.,) La puta.
??,が、急死しました。,died suddenly.,murió repentinamente.
__system__??,},,
__system__??,{F01 = 4:,,
??,ランダム名前が、いっぱいです。,"Random names, a lot.","Nombres al azar, llenos de."
__system__??,~R:,,
??,番の,Number.,Número.
??,を削除します。,Delete the,Borrar.
__system__??,},,
__system__??,{F01 = 5:,,
??,ランダム名前が、いっぱいです。 デフォルトの名前を使用します。,Random names are full. Use the default name.,"Nombre aleatorio, completo. Usa el nombre por defecto."
__system__??,},,
__system__??,{F01 = 6:,,
??,の支配権が、,The control of the,El control de la
??,へ移りました。,I moved on to the,La empresa se ha trasladado al
__system__??,},,
__system__??,{F01 = 7:,,
??,－－－－－－－－－－－－－－－－－－－－－－ 　緊急速報　（,---------------------- Urgent Report (,---------------------- Noticias urgentes (
??,）,）,）
__system__??,~R:,,
??,へ,wind,viento
??,を増援しました。,reinforcements.,refuerzos.
__system__??,},,
__system__??,{F01 = 8:,,
??,－－－－－－－－－－－－－－－－－－－－－－ 　緊急速報　（,---------------------- Urgent Report (,---------------------- Noticias urgentes (
??,）,）,）
__system__??,~R:,,
??,から部下全員を撤退しました。,I have withdrawn all my men from the,Todos sus hombres fueron retirados del
__system__??,},,
__system__??,{F01 = 1:,,
??,ラッキー　　,lucky,suerte
??,は、転んだ。,I fell down.,se cayó.
__system__??,},,
__system__??,{F01 = 2:,,
??,の攻撃。,Attack of the.,El ataque de los.
??,ポイントのダメージを与えた。,points of damage.,puntos de daño.
__system__??,},,
__system__??,{F01 = 3:,,
??,の強襲。,The assault of the,El asalto del
??,ポイントのダメージを与えた。,points of damage.,puntos de daño.
__system__??,},,
__system__??,{F01 = 4:,,
??,の自爆。,The self-destruction of the,Autodestrucción de la
??,ポイントのダメージを与えた。,points of damage.,puntos de daño.
__system__??,},,
__system__??,{F01 = 5:,,
??,仲間全員の体力が,The strength of all my friends…,El estado físico de todos sus compañeros.
??,ポイント回復した。,The market recovered by 1.5 points.,El número de puntos recuperados.
__system__??,},,
__system__??,{F01 = 6:,,
??,ハニージッポが発動！！,Hanny Zippo activated！！,¡Hanny Zippo activado！！
__system__??,},,
__system__??,{F01 = 7:,,
??,あたりは白き煙幕に包まれた。,The area was enveloped in a cloud of smoke.,La zona estaba envuelta en una cortina de humo Haku.
__system__??,},,
