character,jap text,Eng,Esp
Ishihara Senju (talking),志ーー津。,Shi-tsu.,Shih Tsu.
Tanzawa Shizu (talking),千手…君…,Senju… you…,Senju… tú…
Ishihara Senju (talking),どーしたの？ 何、固くなってるの？,"What's wrong? What, are you getting hard?","¿Qué pasa? ¿Qué, se te está poniendo dura?"
Tanzawa Shizu (talking),…………,…………,…………
Ishihara Senju (talking),はぁん…次に何されるか、考えた？,Huh…have you thought about what they're going to do to you next?,Huh… ¿has pensado en lo que te van a hacer después?
Tanzawa Shizu (talking),っ……,~……,~……
Ishihara Senju (talking),で、濡れた？,"So, did you get wet?","Entonces, ¿te has mojado?"
Tanzawa Shizu (talking),……ぅ……,……ぅ……,……ぅ……
Ishihara Senju (talking),"いいんだよ、それで。 そういう躰になるように、ボク達、 君を仕込んだんだから。
志津は、そこら辺の娼婦とは違う、 上級娼婦だもんね。 それでいいんだよ。
でも……すぐに簡単に濡れちゃうのは 駄目だな。
今日はその辺り、調整出来るように する為の訓練に出よっか。","That's okay. We trained you to be like that.
Shizu is not like other whores around here, she's a high class whore. That's all right.
But it's no good if…… you get wet so easily and quickly.
I think I'll go out for training today so that I can adjust to that.","Está bien. Te entrenamos para ser así.
Shizu no es como esas putas de por aquí, es una puta de clase alta. Está bien.
Pero no es bueno si…… se moja tan fácil y rápidamente.
Hoy vamos a entrenarte para que te adaptes a ello."
Tanzawa Shizu (talking),えっ……出るっ…て……,What…you're going to ……?,¿Qué? Voy a……… a ……
Ishihara Senju (talking),外だよ。 さあ、行こう。,"Outside. Come on, let's go.","En el exterior. Venga, vamos."
Tanzawa Shizu (talking),いっ…いや…外は… 駄目よ、千手君……,"I… no… outside… No, Senju you ……","Yo… no… fuera… No, Senju tú ……"
Ishihara Senju (talking),お団子売って貰うよ。 得意だろ？,"I'll get him to sell you dumplings. You're good at that, right?","Haré que te vendan albóndigas. Eres bueno en eso, ¿no?"
Tanzawa Shizu (talking),"いっ…いやっ…
やっ……
やめてっ……！","I… no…
No! ……
No! ……!","Yo… no…
 ¡No! ……
 ¡Para! ¡……!"
cg narrator,"「…………う……」
 「何してんのさ、さっさと団子売ってよ」
 「っ……うっ…ううっ……」
 「は・や・く」
 「だっ……」
 「だんご……」
 「団子……いかがですか……？」","………… and ……
What are you doing, get on with selling dumplings?
 “………ugh…ugh………”
Quickly.
Dumplings……
Dango……
 “Would you like some dumplings ……?","”………… y ……”
 '¿Qué haces, te pones a vender albóndigas?
 “……… ugh… ……”
Rápido.
Dak……”
Dango……
Dango ……, ¿quieres un poco de dango ……?”"
