character,jap text,Eng,Esp
narrator,　！！　部下未配置　！！ 　部下が配置されておりません。,No men in position!　No subordinates assigned! 　No subordinates have been assigned.,¡No hay hombres en posición!　¡¡¡No hay subordinados desplegados!!! 　No se han desplegado subordinados.
narrator,　！！　お金不足　！！ 　お金が足りません。,Lack of money!!!!　Lack of money !!! 　We are short of money.,¡¡¡¡Falta de dinero!!!!　¡¡¡Falta de dinero!!! 　No hay suficiente dinero.
__system__??,{Bキャラ > 500:,,
__system__??,},,
narrator,　☆☆　,　☆☆　,　☆☆　
narrator,　☆☆ 　　　　　　　レベルアップ,　☆☆ 　　　　　　　Level up,　☆☆ 　　　　　　　Subir de nivel
__system__??,{(Bキャラ = 1) * (☆鬼門２ \ 0):,,
__system__??,},,
__system__??,{(GOLD > 2000) * (B給与 \ 0):,,
__system__??,},,
narrator,　☆☆　,　☆☆　,　☆☆　
narrator,　☆☆ 　　地域から集める協力金が増えた。 　（,　☆☆ 　　Increased donations collected from local communities 　(,　☆☆ 　　Aumento de las donaciones recaudadas de las comunidades locales. 　（
narrator,０万）→,(0 million) →.,(0 millones) →.
narrator,（,（,（
narrator,０万）,(0 million),(0 millones)
narrator,　☆☆　,　☆☆　,　☆☆　
narrator,　☆☆ 　奉仕青年団の管理下に組み入れた。,　☆☆ 　Incorporated under the control of the Volunteer Youth League.,　☆☆ 　Incorporado bajo el control de la Liga de Jóvenes Voluntarios.
narrator,　☆☆　,　☆☆　,　☆☆　
narrator,　☆☆ 　捕虜として捕らえた。,　☆☆ 　Captured as prisoners of war.,　☆☆ 　Capturados como prisioneros de guerra.
__system__??,{☆Ｐ登録名前 = 1:,,
__system__??,},,
__system__??,{Hキャラ = 13:,,
__system__??,},,
__system__??,{☆Ｐ忠誠 = 1:,,
__system__??,},,
__system__??,{☆Ｐ忠誠 = 2:,,
__system__??,},,
__system__??,{☆Ｐ忠誠 = 3:,,
__system__??,},,
__system__??,{☆Ｐ忠誠 = 4:,,
__system__??,},,
__system__??,{☆Ｐ名前 \ 0:,,
__system__??,},,
__system__??,{☆Ｐ給与 = 2:,,
__system__??,},,
__system__??,{☆Ｐ給与 = 9:,,
__system__??,},,
__system__??,{☆Ｐ給与 > 10:,,
__system__??,},,
__system__??,{☆Ｐ収益 \ 0:,,
__system__??,},,
__system__??,{☆Ｐ攻撃力:,,
__system__??,},,
__system__??,{☆Ｐスキル \ 0:,,
__system__??,},,
__system__??,{☆Ｐ能力 \ 0:,,
__system__??,},,
__system__??,{☆Ｐ能力 = 0:,,
__system__??,},,
__system__??,{☆Ｐ登録名前 = 1:,,
__system__??,},,
__system__??,{☆Ｐ登録名前 = 11:,,
__system__??,},,
__system__??,{☆Ｐ登録名前 = 12:,,
__system__??,},,
__system__??,{☆Ｐ登録名前 = 13:,,
__system__??,},,
__system__??,{(Bキャラ > 500) * (B性別 = 2) * (Bキャラ \ 568):,,
__system__??,},,
__system__??,{(Bキャラ = 551) * (☆明 = 9) * (RND = 1):,,
narrator,　その猫は、突然変異のスーパー猫 　だった。（能力アップ）,The cat was a mutant super cat. (Ability up),El gato era un supergato mutante. (Capacidad arriba)
__system__??,},,
__system__??,{Bキャラ = 7:,,
__system__??,},,
__system__??,{Bキャラ = 96:,,
__system__??,},,
__system__??,{Bキャラ = 13:,,
__system__??,},,
__system__??,{(Bキャラ = 37) * (★愛 = 5):,,
__system__??,},,
__system__??,{(Bキャラ = 43) * (SEPL[43] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 81) * (SEPL[81] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 82) * (SEPL[82] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 68) * (SEPL[68] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 67) * (SEPL[67] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 30) * (SEPL[30] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 69) * (SEPL[69] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 10) * (SEPL[10] = 1):,,
__system__??,},,
__system__??,{Bキャラ = 39:,,
__system__??,},,
__system__??,{(Bキャラ = 39) * (SEPL[39] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 58) * (SEPL[58] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 55) * (SEPL[55] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 56) * (SEPL[56] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 57) * (SEPL[57] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 93) * (SEPL[93] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 23) * (SEPL[23] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 24) * (SEPL[24] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 64) * (SEPL[64] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 89) * (SEPL[89] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 68) * (SEPL[68] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 67) * (SEPL[67] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 69) * (SEPL[69] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 66) * (SEPL[66] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 42) * (SEPL[42] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 65) * (SEPL[65] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 21) * (SEPL[21] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 76) * (SEPL[76] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 75) * (SEPL[75] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 29) * (SEPL[29] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 51) * (SEPL[51] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 28) * (SEPL[28] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 19) * (SEPL[19] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 7) * (SEPL[7] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 96) * (SEPL[96] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 8) * (SEPL[8] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 13) * (SEPL[13] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 37) * (SEPL[37] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 87) * (SEPL[87] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 11) * (SEPL[11] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 62) * (SEPL[62] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 54) * (SEPL[54] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 78) * (SEPL[78] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 77) * (SEPL[77] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 90) * (SEPL[90] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 80) * (SEPL[80] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 79) * (SEPL[79] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 92) * (SEPL[92] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 9) * (SEPL[9] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 5) * (SEPL[5] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 17) * (SEPL[17] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 18) * (SEPL[18] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 20) * (SEPL[20] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 41) * (SEPL[41] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 44) * (SEPL[44] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 46) * (SEPL[46] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 45) * (SEPL[45] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 48) * (SEPL[48] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 49) * (SEPL[49] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 47) * (SEPL[47] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 36) * (SEPL[36] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 50) * (SEPL[50] = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 15) * (SEPL[15] = 1):,,
__system__??,},,
__system__??,{☆Ｋ入団 = 1:,,
narrator,　☆☆　,　☆☆　,　☆☆　
narrator,　☆☆ 　　（　エピローグ確認ボーナス　） 　新たに奉仕青年団に入団した。,　☆☆ 　　（　Epilogue confirmation bonus　） 　Newly joined the Volunteer Youth League.,　☆☆ 　　（　Bono de confirmación de epílogo　） 　Recién incorporado a la Liga de Jóvenes Voluntarios.
__system__??,},,
