character,jap text,Eng,Esp
Tamanegi (talking),さて……野枝実さん。,"Well, ……Noemi.",Ahora ……Noemi.
Yuuki Noemi (talking),はっ、はいいっ！？,"Ha, ha!","¡Ja, ja!"
Tamanegi (talking),そろそろ始めましょうか。 時間も惜しいことですし。,Shall we start soon? It's a shame to waste time.,¿Comenzamos pronto? Es una pena perder tiempo.
Yuuki Noemi (talking),あうあうあうあうあう…,Auauauauau…,Auauauauau…
Tamanegi (talking),……どうしました？ さ、早く服をお脱ぎなさい。,"…… What's wrong? Now, hurry up and take off your clothes.","…… ¿Qué pasa? Ahora, quítate la ropa rápidamente."
Yuuki Noemi (talking),"あっ、あのぅそのぅ…
私、やっぱりイヤですぅ~！ その、あの…か、躰売るなんて、 やっぱりイヤですぅ~！！","Oh, uh, well…
I really don't want to do that! I don't want to sell my body!","Oh, um, bueno…
No quiero hacerlo. ¡No quiero vender mi cuerpo!"
Tamanegi (talking),職業として誇りが持てないと… そう言いたいのですか？,If you can't be proud of your profession… is that what you're saying?,Si no puedes estar orgulloso de tu profesión… ¿es eso lo que estás diciendo?
Yuuki Noemi (talking),あう~っ！！ そうじゃなくてですね~！！,Au~! That's not what I meant~!,¡Aaah~! ¡Eso no es lo que quise decir~!
Tamanegi (talking),"愛がなければ躰を開けないなどと 考えているのであれば… それはとんでもない勘違いですよ。
人の躰というものは、 人が思う以上に機械的なものです。 そして、躰は心を直接揺さぶる…
肉体のメカニズムを知るからこそ、 抗いようのない絶望を知るからこそ…
 …人は、真の愛を語る資格を得ます。 いずれあなたにも解りますよ。","If you think that you cannot open your body without love, you are mistaken.
The human body is more mechanical than you think. And the body directly shakes the mind…
It is precisely because we know the mechanism of the body, precisely because we know the irresistible despair…
 …one becomes qualified to speak of true love. Eventually you will understand.","Si crees que no puedes abrir tu cuerpo sin amor… te equivocas.
El cuerpo humano es más mecánico de lo que crees. Y el cuerpo sacude directamente la mente…
Es precisamente porque conocemos el mecanismo del cuerpo, precisamente porque conocemos la irresistible desesperación…
 …uno se convierte en alguien calificado para hablar del verdadero amor. Con el tiempo lo entenderás."
Yuuki Noemi (talking),うぅ~うぅ~っ……,Uhhhhhhhh ……,Uhhhhhhhh ……
