character,jap text,Eng,Esp
menu_label__(L_0011c),悪司系列,Akuji affiliate,Akuji afiliado
menu_label__(L_002a8),青年団系列,youth group affiliation,grupo juvenil afiliado
menu_label__(L_001d0),わかめ系列,Wakame family,Familia Wakame
menu_label__(L_00220),桃山系列,Momoyama affiliate,Afiliado de Gomoyama
menu_label__(L_00306),市議会系列,city council affiliate,ayuntamiento afiliado
menu_label__(L_0059e),ウィミィ系列,Wime affiliate,Afiliado a Wime
menu_label__(L_003ee),地域系列,geographic race,raza geográfica
menu_label__(L_00614),四人衆系列,The Four Families,cuarteto
menu_label__(L_006aa),那古（高山）系列,Nako (Takayama) Affiliate,Nako (Takayama) Afiliación.
menu_label__(L_0037c),その他系列,Other Series,Otras series
menu_label__(L_006e4),エンディング系列,ending sequence,secuencia final
menu_label__(L_0f5b7),さばらぐわし,saber-toothed blenny (Aspidontus taeniatus),Diente de sable (Aspidontus taeniatus)
menu_label__(L_008d8),タマネギ,Tamanegi,Tamanegi.
menu_label__(L_00c0e),大杉,Oosugi,Oosugi.
menu_label__(L_00dcc),さっちゃん,Sachan,Sachan
menu_label__(L_013c2),一発,Ippatsu,Ippatsu.
menu_label__(L_02e0e),島本純,Shimamoto Jun,Shimamoto Jun
menu_label__(L_052bf),民華,Minka,Minka.
menu_label__(L_0583b),神原夕子,Kanbara Yuuko,Kanbara Yuuko
menu_label__(L_07ead),ギャルバーガー,gal burger,hamburguesa gal
menu_label__(L_09670),悪司,Akuji .,Akuji.
menu_label__(L_0daea),アンリ,Henri,Henri.
menu_label__(L_0e24c),陸奥,Mutsu,Mutsu.
menu_label__(L_0e4f6),ベラドンナ,Belladonna ., Belladonna.
menu_label__(L_018c1),森田愛,Morita Love,Morita Amor
menu_label__(L_04513),辻家晴子,Tsujiya Haruko,Tsujiya Haruko
menu_label__(L_0aefd),ビノノン,Binonon, Binonon.
menu_label__(L_0d26d),わかめ組,group of young Japanese amberjack (Seriola quinqueradiata),grupo de jóvenes serviolas (Seriola quinqueradiata)
menu_label__(L_03c6b),桃山,Momoyama,Momoyama.
menu_label__(L_0717f),支倉アエン,Hasekura Aen,Hasekura Aen
menu_label__(L_07fbb),今川クルス,Imagawa Kurusu,Imagawa Kurusu
menu_label__(L_08179),佐々木鹿の子,Sasaki Kanoko,Sasaki Kanoko
menu_label__(L_084e6),盾,Tate.,Tate.
menu_label__(L_08660),支倉キリカ,Hasekura Kirika,Hasekura Kirika
menu_label__(L_08a36),春風,Harukaze,Harukaze.
menu_label__(L_08d63),支倉ハイネ,Hasekura Haine,Hasekura Haine
menu_label__(L_01d1e),加古未来,Kako Mirai,Kako Mirai
menu_label__(L_01f6e),衣笠智子,Kinugasa Tomoko,Kinugasa Tomoko
menu_label__(L_048bd),青葉曜子,Aoba Youko,Aoba Youko
menu_label__(L_0b5b4),日陰密子,Hikage Mitsuko,Hikage Mitsuko
menu_label__(L_0746d),青年団,young persons' association,asociación de jóvenes
menu_label__(L_03516),鴉葉月,Karasuba Tsuki,Karasuba  mes
menu_label__(L_03175),中山明里,Nakayama Akari,Nakayama Akari
menu_label__(L_05c0f),森薫,Mori Kaoru,Mori Kaoru
menu_label__(L_0601e),中山多恵子,Nakayama Taeko,Nakayama Taeko
menu_label__(L_062b1),市議会,city council,ayuntamiento de la ciudad
menu_label__(L_06daa),選挙,election,elección
menu_label__(L_0e7b9),五十鈴伊万里,Isuzu Imari,Isuzu Imari
menu_label__(L_0074c),えふ実件,epidemiological case,epidemia
menu_label__(L_0080d),捕虜実験,prisoner-of-war experiment,experimento con prisioneros de guerra
menu_label__(L_00849),看板実験,Signboard experiment,Experimento con carteles
menu_label__(L_00878),背景実験,background research,experimento de fondo
menu_label__(L_008d4),ぷっぷろぷろ,grumbling,frívolamente
menu_label__(L_0f56d),おじゃる,(usu. after the particle 'de') forms a polite copula,(normalmente después de la partícula “de”) forma una cópula de cortesía
menu_label__(L_09cc1),地域,area,zona
menu_label__(L_02230),多田山一途,Tadayama Ichizu,Tadayama Ichizu
menu_label__(L_02a23),長崎旗男,Nagasaki Hatao,Nagasaki Hatao
menu_label__(L_03712),貴神雷贈,Kishin Raizou,Kishin Raizou
menu_label__(L_03b9b),竹井杏,Takei An,Takei An
menu_label__(L_04bb5),小松舞,Komatsu Mai,Komatsu Mai
menu_label__(L_04d9e),鬼門始,Kimon Hajime,Kimon Hajime
menu_label__(L_04f9f),金田酒太郎,Kaneda Sakatarou,Kaneda Sakatarou
menu_label__(L_04742),木村弾白,Kimura Danpaku,Kimura Danpaku
menu_label__(L_076c3),天界海音,Tenkai Umine,Tenkai Umine
menu_label__(L_07b74),松本了,Matsumoto Ryou,Matsumoto Ryou
menu_label__(L_07bed),竹井つかさ,Takei Tsukasa,Takei Tsukasa
menu_label__(L_0986a),瑞海和樹,Mizuumi Kazuki,Mizuumi Kazuki
menu_label__(L_09a31),星屑夜空,Hoshikuzu Yozora,Hoshikuzu Yozora
menu_label__(L_0ac8d),河原伊織,Kawahara Iori,Kawahara Iori
menu_label__(L_004dc),次,next,siguiente
menu_label__(L_0afb7),九条宗麟,Kujou Sourin,Kujou Sourin
menu_label__(L_0b355),佐藤たね,Satou Tane,Satou Tane
menu_label__(L_0b50e),神尾徳典,Kamio Tokunori,Kamio Tokunori
menu_label__(L_0bcf6),コンディ,Condi.,Condi.
menu_label__(L_0bebe),丹沢志津,Tanzawa Shizu,Tanzawa Shizu
menu_label__(L_0bf38),羽黒,Haguro,Haguro.
menu_label__(L_0c142),パンイチ,Panichi,Panichi.
menu_label__(L_0ca46),湯室世津子,Yumuro Setsuko,Yumuro Setsuko
menu_label__(L_0caf8),筒井朝顔,Tsutsui Asagao ,Tsutsui Asagao.
menu_label__(L_0ce9b),野山めぐる,Noyama Meguru,Noyama Meguru
menu_label__(L_0d2fd),セヤダタラ,Seyadatara,Seyadatara.
menu_label__(L_0d8e7),ＷＷ弾,White wolf Dan,White wolf Dan
menu_label__(L_06616),ウィミィ,Wime.,Wime.
menu_label__(L_0b223),ジョンソン,Johnson,Johnson.
menu_label__(L_0b281),バーバラ,Barbara, Barbara.
menu_label__(L_0b2fb),シャロン,Sharon,Sharon.
menu_label__(L_0c534),ウィミィ／決戦,Wime/Decisive battle,Wime/Batalla decisiva
menu_label__(L_0e920),サンディ,Sandy,Sandy.
menu_label__(L_09036),郷田真,Gouda true,Gouda Verdadero
menu_label__(L_09159),天戸香太郎,Amato Koutarou,Amato Koutarou
menu_label__(L_092b2),柳秋光,Yanagi Akimitsu,Yanagi Akimitsu
menu_label__(L_093b2),イルラカムイ,Ilulakamui,Ilulakamui.
menu_label__(L_0d5ae),相馬鱗,Souma Rin,Souma Rin
menu_label__(L_0dfb7),見当かなみ,Kentou Kanami,Kentou Kanami
menu_label__(L_0e12d),狼梅清,Rou Baisei,Rou Baisei
menu_label__(L_0eace),星川翼,Hoshikawa Tsubasa,Hoshikawa Tsubasa
menu_label__(L_0ebf5),鴉丸羅喉,Karasuma Ragou,Karasuma Ragou
menu_label__(L_0b728),高山はみ,Takayama Hami,Takayama Hami
menu_label__(L_0bb25),高山リクペチ,Takayama Rikupechi,Takayama Rikupechi
menu_label__(L_0d821),シーネルエンド,Seanel end,Seanel fin
menu_label__(L_0d87f),民華エンド,Minka end,Minka Fin
menu_label__(L_0eac2),アンリエンド,Henri End,Henri Fin
menu_label__(L_0ea77),ＥＬＰだだ流し実験,ELP Dumping Experiment,Experimento de vertido de ELP
narrator,止まれ。,Stop.,Para.
narrator,止まれ。,Stop.,Para.
menu_label__(L_00b04),タマネギイベントＡ,Tamanegi Event A,Evento Tamanegi A
menu_label__(L_00b10),タマネギイベントＢ,Tamanegi Event B,Evento Tamanegi B
menu_label__(L_00b1c),タマネギ調教部屋,Tamanegi training room,Sala de formación Tamanegi
menu_label__(L_00b28),調教＿引取,Training Pickup,Entrenamiento Recogida.
menu_label__(L_00b42),石原／主婦をさらう,Ishihara/Housewives are kidnapped,Ishihara/Las amas de casa son secuestradas
menu_label__(L_00b4e),小原／女子学生をさらう,Kohara/snatch up female students,Kohara/escoltas expuestas.
menu_label__(L_00b5a),タマネギ／娼婦と一緒,Tamanegi/With whores,Tamanegi/Con prostitutas.
menu_label__(L_00b66),小春／娼婦と一緒,Koharu/With whores,Koharu/Con prostitutas
menu_label__(L_00b72),千手／娼婦と一緒,Senju/With whores,Senju/Con prostitutas.
